number_of_room,neighbourhood,material_quality,age,distance,number_of_bathroom,area,balcony,thermal_insulation_point,air_quality,price
2,Moderate,A,20.12,651.0,1,120.0,yes,30.8,24.3,438.4
4,High,C,4.51,691.0,1,181.0,yes,25.2,18.2,625.6
1,Very High,B,4.07,653.0,1,61.0,,24.7,24.1,574.2
4,Very High,C,5.73,322.0,2,148.0,yes,27.0,20.1,534.9
2,Low,,29.16,630.0,1,74.0,yes,22.2,34.7,266.3
3,Moderate,C,35.45,552.0,1,77.0,no,36.5,22.0,536.8
4,Very High,B,1.15,676.0,2,125.0,no,21.9,25.4,678.5
3,High,A,11.39,541.0,1,136.0,yes,26.5,26.2,788.7
4,Very High,C,9.65,658.0,2,130.0,,44.5,20.1,730.5
3,,C,28.81,675.0,1,134.0,yes,22.0,29.3,347.9
4,Very High,D,6.99,664.0,2,171.0,yes,29.4,35.7,702.4
4,Moderate,B,9.75,543.0,2,187.0,no,46.9,23.2,859.8
3,Moderate,,23.94,561.0,1,80.0,yes,59.4,26.6,619.4
1,Very High,C,3.48,544.0,1,64.0,yes,24.0,23.9,786.7
3,Moderate,B,21.57,599.0,1,121.0,yes,27.9,78.8,397.3
3,Very Low,C,32.11,310.0,1,133.0,no,41.0,23.1,935.0
2,Moderate,C,28.16,679.0,1,124.0,no,27.9,26.0,334.6
3,Moderate,B,18.93,629.0,1,149.0,yes,35.4,29.2,531.7
2,Moderate,C,31.1,675.0,1,66.0,yes,29.4,19.7,288.1
3,Low,C,20.8,683.0,1,115.0,no,21.3,33.2,274.9
3,Low,A,22.06,699.0,1,74.0,yes,24.0,40.6,182.0
3,High,C,12.8,542.0,1,140.0,no,36.7,33.3,784.3
4,High,B,4.69,698.0,2,171.0,yes,25.4,29.0,589.5
4,Very High,C,4.34,630.0,2,136.0,yes,25.0,15.9,791.2
3,Moderate,B,22.43,574.0,1,64.0,no,23.5,25.3,518.7
3,Moderate,C,26.38,621.0,1,93.0,yes,22.2,38.0,399.8
4,Moderate,B,6.69,536.0,2,173.0,yes,28.7,29.7,822.0
3,Very High,,19.81,544.0,1,94.0,,24.5,44.2,713.1
4,Very High,C,8.82,643.0,2,149.0,yes,36.0,28.2,743.6
4,Very High,A,0.43,658.0,2,134.0,yes,21.3,48.1,663.2
4,Very High,B,8.74,682.0,2,158.0,,35.5,45.7,630.7
3,Moderate,D,22.35,642.0,1,61.0,yes,21.7,19.6,398.8
2,Low,D,31.18,607.0,1,92.0,yes,33.1,25.7,363.0
3,Moderate,B,21.07,478.0,1,75.0,no,25.3,21.4,733.7
3,Moderate,B,17.65,671.0,1,62.0,yes,30.4,30.4,358.7
3,Moderate,B,34.2,627.0,1,122.0,yes,25.2,34.8,389.0
2,Very Low,B,17.07,305.0,1,89.0,yes,22.2,43.6,870.3
3,Moderate,B,5.15,616.0,1,102.0,no,41.7,33.3,586.8
1,High,C,6.42,670.0,1,62.0,yes,28.2,27.5,456.8
2,Very Low,C,12.96,693.0,1,111.0,yes,22.7,39.0,191.1
1,Very High,C,5.97,611.0,1,52.0,yes,27.4,40.8,594.9
3,Low,C,20.25,667.0,1,145.0,no,22.6,22.3,370.3
4,Very High,,4.02,626.0,1,128.0,,24.6,16.2,774.0
2,Moderate,B,13.47,685.0,1,145.0,yes,27.3,16.8,448.7
1,Very High,A,6.1,614.0,1,70.0,yes,27.6,19.4,664.7
4,High,B,1.08,632.0,2,141.0,yes,21.8,19.2,724.0
3,Very Low,B,13.93,661.0,1,145.0,no,22.5,24.2,340.1
3,Moderate,C,18.54,662.0,1,118.0,yes,25.3,22.1,439.2
1,Very High,B,5.16,497.0,1,49.0,,26.1,37.1,820.4
2,Very High,A,20.76,624.0,1,68.0,yes,34.6,29.8,569.0
3,Very High,A,20.25,662.0,1,147.0,,27.0,29.4,584.4
3,Moderate,C,21.98,586.0,1,77.0,yes,32.7,27.1,524.9
4,High,B,3.7,661.0,1,111.0,yes,24.2,32.6,576.1
4,Very High,A,1.88,619.0,2,139.0,yes,22.5,24.9,799.3
3,Moderate,A,29.81,618.0,1,71.0,,23.3,27.5,395.2
3,Moderate,C,45.51,559.0,1,64.0,yes,21.2,20.4,428.9
3,Moderate,A,30.53,652.0,1,139.0,yes,24.2,38.7,366.2
3,High,C,26.86,654.0,1,80.0,yes,28.1,46.9,380.2
3,Low,C,17.3,666.0,1,69.0,yes,33.9,35.2,300.2
4,High,A,2.35,672.0,2,126.0,,22.9,35.0,585.6
3,High,A,22.79,655.0,1,116.0,yes,29.6,21.4,508.6
1,Very High,D,7.52,583.0,1,49.0,yes,30.8,24.5,687.4
3,Very Low,B,14.62,711.0,1,148.0,yes,29.2,25.8,253.4
4,High,B,9.63,682.0,2,143.0,yes,44.1,41.9,567.3
4,Very High,C,5.8,646.0,2,119.0,yes,27.1,21.3,725.4
3,High,C,21.98,17.0,1,100.0,no,25.1,40.4,214.5
1,High,D,5.37,601.0,1,57.0,no,26.4,18.6,609.1
4,High,C,0.05,659.0,2,117.0,yes,21.0,25.2,636.6
4,Very High,B,0.07,674.0,2,170.0,yes,21.0,28.6,722.8
4,Very High,A,4.94,571.0,2,125.0,yes,25.8,32.9,844.7
3,Moderate,C,14.37,645.0,1,125.0,yes,24.3,29.2,480.2
3,Moderate,B,29.8,700.0,1,115.0,yes,22.0,40.0,247.1
4,Moderate,B,3.54,688.0,2,111.0,yes,24.1,29.1,481.0
1,High,C,6.41,701.0,1,56.0,yes,28.2,22.5,405.5
4,Very High,A,5.23,621.0,2,183.0,,26.2,21.8,836.9
3,Moderate,B,37.06,544.0,1,139.0,yes,24.5,19.8,587.1
1,Very High,A,7.7,661.0,1,52.0,yes,31.3,22.5,547.6
4,Very High,B,0.53,450.0,2,184.0,yes,21.4,30.8,1154.7
3,Moderate,A,28.97,691.0,1,100.0,,36.2,26.5,318.6
1,Very High,A,6.79,677.0,1,47.0,yes,29.0,25.1,505.6
2,High,A,41.09,699.0,1,77.0,yes,24.8,35.2,218.5
4,Very High,B,6.92,684.0,2,157.0,yes,29.2,20.5,691.4
2,Low,C,14.23,673.0,1,87.0,yes,40.6,22.2,350.3
4,High,B,6.55,651.0,1,135.0,no,28.4,23.5,636.4
4,High,D,6.68,668.0,2,190.0,yes,28.7,30.3,657.6
1,High,B,7.02,704.0,1,67.0,yes,29.5,23.7,406.8
3,Moderate,B,28.4,659.0,1,72.0,yes,38.3,76.8,222.9
4,Very High,C,8.89,684.0,2,122.0,yes,36.4,32.2,628.4
3,High,A,21.35,521.0,1,117.0,yes,23.3,19.3,765.2
4,Very High,D,0.22,647.0,2,190.0,yes,21.2,17.2,824.4
3,Very High,A,23.41,641.0,1,64.0,yes,23.3,27.6,521.4
3,Low,D,14.55,581.0,1,119.0,yes,24.2,29.6,522.6
2,Moderate,A,21.77,678.0,1,122.0,yes,23.0,26.0,359.9
4,High,C,4.57,639.0,2,120.0,yes,25.3,22.8,667.8
4,Very High,B,9.38,602.0,2,138.0,yes,40.5,21.2,835.4
3,Very High,D,21.46,624.0,1,69.0,yes,,41.4,530.6
2,Moderate,A,17.18,686.0,1,126.0,,24.4,28.4,370.2
2,Very Low,B,30.24,692.0,1,122.0,yes,33.5,39.6,129.0
3,Moderate,D,27.53,406.0,1,141.0,yes,22.0,26.4,880.9
1,Very High,B,3.52,688.0,1,71.0,yes,24.0,20.1,530.2
3,Moderate,B,30.62,626.0,1,103.0,yes,26.6,26.9,415.8
2,Moderate,C,18.42,690.0,1,67.0,yes,31.3,21.0,330.6
2,Moderate,B,17.49,523.0,1,111.0,yes,34.9,23.5,697.5
2,Moderate,B,13.87,634.0,1,107.0,yes,23.1,29.4,462.9
4,Very High,B,9.52,345.0,2,152.0,,42.3,22.8,711.2
2,Moderate,C,28.06,631.0,1,75.0,yes,25.0,51.6,302.5
2,Moderate,A,29.04,641.0,1,91.0,no,22.0,17.8,379.3
2,Very High,B,21.94,550.0,1,88.0,,22.2,26.7,706.6
1,Very High,D,4.37,411.0,1,62.0,,25.0,30.8,1015.9
3,Moderate,C,17.08,638.0,1,118.0,yes,32.7,19.9,513.5
4,Very High,B,0.69,581.0,2,136.0,yes,21.5,15.3,899.0
4,High,B,2.18,603.0,2,175.0,yes,22.7,24.0,795.9
3,High,B,22.81,614.0,1,116.0,no,32.3,30.8,566.4
3,High,A,25.63,633.0,1,124.0,no,33.1,31.2,523.3
4,Very High,B,2.0,584.0,2,187.0,yes,22.6,37.0,880.7
3,Moderate,B,25.9,542.0,1,109.0,no,21.4,16.0,626.4
3,Very High,B,20.35,627.0,1,122.0,yes,28.4,29.3,628.5
3,High,A,30.12,633.0,1,88.0,yes,32.1,22.2,484.9
1,Very High,D,0.5,624.0,1,70.0,yes,21.4,29.1,637.9
4,Very High,D,5.23,666.0,1,153.0,yes,26.2,31.9,677.1
1,High,C,1.42,690.0,1,36.0,no,22.1,28.2,406.2
3,Moderate,B,31.35,607.0,1,119.0,,27.4,20.5,482.7
4,Very High,B,1.12,686.0,1,150.0,,21.8,45.9,612.1
3,Moderate,C,15.87,604.0,1,97.0,no,,27.2,522.7
2,Low,C,24.41,610.0,1,98.0,yes,26.4,22.9,394.7
4,High,A,9.47,333.0,2,174.0,yes,41.6,26.9,1297.8
4,Moderate,C,0.29,691.0,2,174.0,,21.2,22.9,567.1
3,High,C,22.74,484.0,1,66.0,,21.7,22.5,765.0
1,Very High,C,2.02,610.0,1,51.0,yes,22.6,49.4,584.7
4,High,C,8.15,685.0,2,120.0,yes,32.8,14.7,597.6
1,Very High,B,2.4,627.0,1,61.0,yes,22.9,36.4,596.0
3,Low,B,13.02,643.0,1,72.0,yes,23.2,22.6,383.1
4,Very High,C,4.29,626.0,2,130.0,no,24.9,22.7,774.5
2,Moderate,C,18.19,676.0,1,86.0,yes,34.6,43.2,324.1
3,Low,A,24.03,511.0,1,102.0,yes,23.3,28.9,586.5
4,Moderate,A,4.72,696.0,2,160.0,yes,25.5,29.6,509.7
2,Very Low,B,30.65,679.0,1,68.0,yes,25.5,27.2,114.9
2,Moderate,C,17.14,690.0,1,70.0,no,25.8,22.8,324.8
1,Very High,D,4.46,681.0,1,35.0,yes,25.1,21.8,499.9
2,Moderate,A,19.47,560.0,1,84.0,no,32.4,37.5,546.5
1,Very High,B,2.0,684.0,1,74.0,,22.6,29.1,522.0
2,Moderate,B,20.7,689.0,1,91.0,no,25.9,30.2,308.3
4,Moderate,D,1.31,349.0,1,140.0,yes,22.0,20.2,1169.2
3,High,C,19.19,643.0,1,133.0,yes,35.4,23.6,573.8
4,High,C,4.25,659.0,2,115.0,yes,24.9,27.3,613.6
3,Very High,B,12.0,680.0,1,70.0,yes,64.6,38.4,569.5
4,Moderate,B,6.63,504.0,2,140.0,yes,28.6,18.7,879.6
1,Very High,B,2.04,587.0,1,44.0,no,22.6,20.8,698.5
3,Very Low,A,28.12,678.0,1,69.0,yes,39.1,31.6,167.0
1,Very High,C,2.94,674.0,1,58.0,yes,23.4,25.0,532.5
3,Moderate,C,20.57,694.0,1,134.0,yes,28.1,24.1,383.4
4,High,D,7.65,659.0,2,116.0,yes,31.1,40.8,571.9
3,Moderate,D,25.37,665.0,1,92.0,yes,21.8,21.0,365.9
2,Moderate,B,27.02,596.0,1,106.0,yes,22.4,23.1,477.4
2,Moderate,C,19.09,540.0,1,82.0,yes,24.9,31.2,586.6
3,Moderate,C,15.24,615.0,1,67.0,yes,24.1,48.1,423.0
4,Moderate,C,3.16,652.0,2,114.0,,23.7,21.0,575.5
4,Very High,A,2.7,637.0,2,133.0,yes,23.2,20.5,767.9
4,Very High,B,3.61,277.0,2,170.0,yes,24.1,27.1,152.4
4,High,A,9.82,479.0,2,186.0,yes,49.0,35.2,1022.9
4,High,D,4.58,404.0,1,157.0,yes,25.3,39.5,1089.2
2,High,B,17.22,643.0,1,88.0,yes,25.3,23.1,500.8
3,Moderate,A,18.54,485.0,1,109.0,yes,23.0,31.9,735.4
4,High,C,1.9,662.0,2,189.0,yes,22.5,42.8,648.2
4,Very High,B,2.57,572.0,2,126.0,yes,23.1,21.8,881.4
3,Moderate,B,16.27,624.0,1,64.0,yes,36.2,23.7,487.3
3,Moderate,A,19.96,397.0,1,137.0,yes,36.2,23.1,973.0
1,Very High,C,1.71,714.0,1,46.0,no,22.3,19.3,464.5
4,Very High,B,3.97,654.0,2,113.0,no,24.5,30.8,683.4
2,Very Low,C,12.04,663.0,1,138.0,yes,27.1,22.4,333.8
4,Very High,B,5.53,562.0,2,141.0,no,26.6,34.5,871.8
1,Very High,C,2.01,576.0,1,52.0,,22.6,19.5,731.1
4,High,B,0.62,639.0,2,172.0,yes,21.4,21.8,736.4
3,Moderate,B,18.91,442.0,1,63.0,yes,32.1,36.2,775.7
4,Moderate,C,1.3,454.0,2,171.0,yes,22.0,92.9,821.4
1,High,B,3.98,568.0,1,65.0,yes,24.5,20.1,679.6
3,Low,A,17.87,561.0,1,83.0,yes,31.1,18.1,551.1
2,Low,A,23.88,621.0,1,85.0,yes,29.1,20.4,375.9
3,Very Low,C,25.66,430.0,1,104.0,yes,24.7,22.1,683.6
3,Low,B,34.93,682.0,1,94.0,yes,32.2,38.2,186.3
3,Low,C,30.61,641.0,1,65.0,yes,56.0,23.8,345.5
4,Very High,A,4.8,697.0,2,179.0,yes,25.6,35.4,652.9
4,Very High,A,8.85,651.0,2,153.0,yes,36.1,51.3,670.1
1,High,A,5.21,613.0,1,68.0,yes,26.2,28.8,570.3
3,Moderate,B,27.09,598.0,1,63.0,yes,24.4,35.6,420.5
3,Moderate,B,22.32,485.0,1,105.0,yes,52.9,42.7,741.2
3,High,B,22.78,712.0,1,65.0,yes,31.3,24.6,344.1
2,Moderate,B,24.96,495.0,1,108.0,yes,22.0,35.6,648.1
4,Very High,C,5.41,649.0,2,152.0,no,26.5,20.4,756.1
2,High,B,20.78,649.0,1,123.0,yes,24.3,41.1,454.2
4,Very High,B,4.96,669.0,2,175.0,no,25.8,29.2,718.4
3,Moderate,C,22.66,591.0,1,91.0,no,30.9,37.6,493.8
1,Very High,B,3.37,613.0,1,35.0,,23.9,16.5,647.0
4,Very High,B,6.01,609.0,2,120.0,yes,27.4,24.6,787.2
1,Very High,C,2.38,591.0,1,68.0,yes,22.9,27.8,694.8
4,Very High,C,4.43,697.0,2,168.0,yes,25.1,23.8,674.3
3,Moderate,A,16.38,548.0,1,119.0,,36.4,19.1,698.9
4,Very High,C,7.37,611.0,2,115.0,yes,30.3,24.2,777.8
4,Moderate,B,3.63,503.0,2,111.0,yes,24.2,70.1,721.5
3,Moderate,B,25.07,618.0,1,105.0,yes,23.3,31.1,445.5
1,Very High,B,6.03,672.0,1,50.0,,27.5,50.1,451.8
2,Moderate,,16.02,526.0,1,142.0,yes,25.5,19.8,722.0
1,Very High,B,9.88,500.0,1,64.0,no,51.7,55.5,805.2
3,Moderate,,19.09,668.0,1,149.0,yes,23.5,20.9,455.4
1,Very High,B,9.21,686.0,1,42.0,no,38.8,48.0,427.9
2,Very High,A,18.58,408.0,1,137.0,yes,22.9,18.4,1067.7
2,High,A,40.4,641.0,1,85.0,yes,32.3,31.2,366.3
3,Low,A,23.31,642.0,1,73.0,yes,35.0,39.8,306.5
3,Moderate,A,29.32,664.0,1,129.0,,22.5,21.8,382.3
3,Very High,A,13.68,529.0,1,121.0,,25.1,38.2,819.7
3,Very Low,A,26.53,640.0,1,124.0,no,29.7,30.6,286.9
1,Very High,B,4.12,439.0,1,51.0,yes,24.7,57.3,880.9
2,Moderate,A,20.41,676.0,1,125.0,yes,21.8,25.0,374.4
2,Moderate,B,29.03,689.0,1,135.0,yes,31.2,29.2,319.8
4,High,,4.87,675.0,2,154.0,yes,25.7,33.1,604.7
1,Very High,B,1.84,658.0,1,69.0,yes,22.4,17.1,599.3
3,Very Low,C,19.73,652.0,1,65.0,yes,21.4,19.7,255.3
3,Moderate,A,14.41,641.0,1,116.0,yes,26.1,37.1,460.9
3,Moderate,A,27.85,615.0,1,82.0,yes,23.4,58.3,339.7
1,High,A,8.13,690.0,1,40.0,yes,32.7,40.6,361.1
2,Moderate,A,22.79,691.0,1,101.0,yes,22.2,32.0,290.8
2,Moderate,B,13.22,585.0,1,106.0,yes,21.1,16.9,588.4
2,Very High,,21.79,554.0,1,144.0,yes,37.7,29.7,778.8
2,Moderate,A,15.81,670.0,1,102.0,no,24.8,34.3,369.0
4,High,A,8.54,701.0,2,117.0,yes,34.5,65.8,427.5
4,High,B,5.7,677.0,2,124.0,yes,26.9,44.1,539.1
4,Very High,A,8.81,585.0,2,137.0,,35.9,28.7,840.4
4,Moderate,B,9.38,409.0,2,119.0,no,40.5,32.4,1010.8
2,Moderate,B,27.38,534.0,1,73.0,yes,21.6,37.7,519.2
4,Very High,C,2.79,657.0,2,155.0,yes,23.3,37.9,704.6
3,Very Low,A,23.08,684.0,1,92.0,yes,22.4,37.2,157.8
2,Moderate,C,25.03,712.0,1,75.0,yes,43.0,28.2,264.4
4,Moderate,B,6.95,560.0,2,143.0,,29.3,21.2,769.1
2,Moderate,A,15.81,583.0,1,110.0,yes,39.2,26.5,592.2
4,High,C,9.85,648.0,2,133.0,yes,50.5,16.6,701.8
4,High,C,7.92,696.0,2,142.0,yes,32.0,22.1,578.4
2,Very High,,31.94,696.0,1,129.0,yes,35.5,20.2,459.4
3,Very High,B,18.44,687.0,1,119.0,yes,40.8,21.6,567.6
4,High,C,6.09,694.0,2,144.0,yes,27.6,27.5,570.9
3,Low,C,24.64,676.0,1,140.0,yes,33.0,30.8,321.9
3,Very Low,A,20.84,693.0,1,107.0,no,46.7,24.8,250.1
2,Low,A,23.08,593.0,1,82.0,yes,25.5,61.0,313.7
2,Low,B,13.92,652.0,1,117.0,no,22.7,23.9,381.5
3,Moderate,B,23.08,681.0,1,69.0,yes,28.7,17.1,349.4
3,Moderate,B,25.32,700.0,1,89.0,yes,21.4,19.3,300.4
4,Very High,B,3.09,644.0,2,181.0,yes,23.6,43.3,739.7
3,Moderate,B,13.54,505.0,1,128.0,yes,24.3,37.2,732.2
3,Moderate,C,29.8,614.0,1,78.0,no,32.4,25.6,433.2
1,Very High,A,0.24,702.0,1,45.0,yes,21.2,32.9,455.4
3,Very Low,B,15.54,507.0,1,137.0,,23.7,44.3,564.0
3,Moderate,C,18.6,682.0,1,94.0,yes,23.6,28.4,356.4
3,Very High,C,18.06,492.0,1,63.0,yes,28.6,23.8,853.8
1,Very High,B,8.75,477.0,1,46.0,yes,35.6,16.8,909.4
1,Very High,B,4.8,559.0,1,65.0,yes,25.6,28.0,744.1
3,High,A,30.71,678.0,1,130.0,yes,34.0,35.6,405.8
3,Moderate,B,18.89,636.0,1,133.0,yes,24.8,30.1,479.0
1,Very High,B,5.02,428.0,1,62.0,yes,25.9,29.5,985.3
4,Very High,A,3.21,656.0,2,145.0,yes,23.7,43.8,679.1
4,High,B,1.96,695.0,2,159.0,yes,22.5,35.2,575.7
3,Low,B,19.49,692.0,1,148.0,yes,36.5,23.3,355.1
4,Very High,A,6.02,691.0,1,114.0,yes,27.5,22.3,614.8
2,Very High,B,24.83,670.0,1,76.0,no,23.2,23.7,460.8
1,High,A,5.39,599.0,1,40.0,,26.4,15.2,605.0
2,Moderate,B,23.58,695.0,1,103.0,yes,24.6,23.2,309.4
1,High,A,0.37,467.0,1,73.0,,21.3,20.3,892.5
3,Moderate,C,30.59,267.0,1,66.0,yes,29.4,26.1,1068.8
4,High,B,8.68,593.0,2,184.0,yes,35.2,26.5,806.4
2,Low,C,19.55,624.0,1,100.0,yes,,21.2,403.8
4,High,C,1.48,685.0,2,171.0,,22.1,25.1,635.8
3,Moderate,B,18.24,499.0,1,112.0,yes,24.8,56.2,651.4
2,Moderate,A,16.94,586.0,1,131.0,yes,22.6,22.2,579.7
3,Moderate,B,16.91,629.0,1,109.0,no,22.3,21.6,497.2
3,Very Low,B,27.5,680.0,1,117.0,yes,23.4,32.7,180.3
2,Moderate,C,26.05,601.0,1,138.0,no,36.8,35.4,500.8
3,Low,B,20.08,533.0,1,125.0,yes,34.0,17.6,641.3
4,High,A,7.94,421.0,2,188.0,yes,32.0,28.5,1129.5
4,High,B,9.28,686.0,2,130.0,no,39.4,21.3,594.9
2,Moderate,B,21.51,633.0,1,105.0,yes,21.8,21.0,440.9
4,High,B,2.19,703.0,2,187.0,yes,22.7,30.3,600.8
2,Moderate,B,6.89,651.0,1,109.0,,21.3,21.9,487.7
3,Moderate,B,28.31,498.0,1,129.0,no,21.0,24.1,694.0
3,Moderate,D,25.65,669.0,1,80.0,yes,28.2,70.6,223.6
4,Very High,B,4.09,682.0,1,121.0,yes,24.7,57.0,550.2
1,Very High,A,5.66,543.0,1,39.0,yes,26.8,27.6,747.2
3,Moderate,A,7.57,676.0,1,139.0,yes,35.2,34.7,479.7
3,High,A,18.52,644.0,1,118.0,yes,23.4,34.0,508.5
2,Moderate,A,21.78,692.0,1,107.0,yes,23.0,27.2,315.0
3,Low,A,32.59,620.0,1,67.0,yes,33.1,32.4,307.5
4,Very High,A,0.25,713.0,2,167.0,yes,21.2,22.4,661.8
4,Moderate,B,9.26,698.0,2,116.0,no,39.2,35.7,447.9
1,High,A,3.47,640.0,1,71.0,yes,24.0,18.6,554.7
4,High,C,0.33,704.0,2,158.0,no,21.2,23.0,596.9
2,Very High,A,24.29,653.0,1,85.0,,22.7,20.3,513.3
4,High,B,0.81,680.0,2,115.0,yes,21.6,19.0,608.4
3,Very Low,B,31.25,581.0,1,116.0,yes,34.0,36.4,357.9
1,Very High,D,0.56,673.0,1,58.0,yes,21.4,19.1,559.4
4,Very High,A,0.53,698.0,2,139.0,yes,21.4,16.9,676.1
3,High,B,33.59,237.0,1,70.0,no,27.7,19.8,1197.9
3,Moderate,D,27.61,678.0,1,136.0,yes,22.6,28.1,355.3
3,Moderate,C,15.81,699.0,1,67.0,yes,23.9,25.6,320.6
3,Very High,C,13.12,615.0,1,131.0,,31.8,34.0,694.1
1,Very High,B,4.25,669.0,1,37.0,yes,24.9,28.1,508.5
4,High,A,7.29,596.0,1,131.0,,30.1,27.1,726.5
2,Moderate,,20.44,681.0,1,123.0,yes,23.3,16.4,389.0
2,Moderate,C,27.95,657.0,1,119.0,yes,22.0,25.9,361.0
1,Very High,B,0.68,678.0,1,42.0,yes,21.5,29.2,506.2
4,Very High,B,8.38,666.0,2,112.0,yes,33.8,25.8,667.5
4,Very High,B,1.22,631.0,2,169.0,yes,21.9,22.8,814.6
3,Moderate,C,25.56,671.0,1,116.0,yes,21.6,27.8,358.7
4,High,A,1.57,622.0,2,146.0,yes,22.2,22.7,736.7
2,Very High,B,13.37,543.0,1,131.0,no,26.2,36.7,791.1
3,Moderate,B,27.62,561.0,1,145.0,yes,29.2,22.7,614.3
2,Moderate,B,16.2,617.0,1,64.0,yes,25.8,23.9,459.7
2,Very Low,A,19.81,697.0,1,108.0,yes,27.8,24.5,192.2
3,Moderate,A,29.67,595.0,1,86.0,,25.8,32.0,447.5
2,Moderate,B,23.43,646.0,1,104.0,no,30.5,80.0,262.7
1,Very High,B,6.04,692.0,1,67.0,yes,27.5,22.2,506.0
3,Moderate,B,18.82,519.0,1,86.0,yes,22.4,30.6,648.6
2,Moderate,A,17.17,686.0,1,64.0,yes,23.9,29.8,303.5
3,Low,B,23.03,674.0,1,71.0,yes,56.0,26.9,322.1
2,Moderate,B,24.48,646.0,1,78.0,yes,25.2,22.2,376.4
1,High,A,6.77,681.0,1,53.0,yes,28.9,45.1,378.9
3,Moderate,B,21.5,614.0,1,73.0,yes,22.3,38.8,418.0
3,Moderate,A,17.1,614.0,1,87.0,yes,28.9,33.5,483.7
4,Very High,A,6.98,693.0,2,179.0,yes,29.4,18.4,702.0
1,Very High,D,1.6,723.0,1,57.0,no,22.2,21.1,453.9
4,Very High,B,9.41,664.0,2,152.0,yes,40.9,24.7,722.8
1,Very High,C,3.94,643.0,1,73.0,yes,24.5,25.0,603.1
2,Moderate,B,25.84,555.0,1,80.0,yes,24.0,30.4,519.3
1,High,C,6.78,608.0,1,51.0,no,28.9,21.3,579.8
3,Moderate,C,28.5,672.0,1,141.0,yes,38.7,46.7,348.8
3,Moderate,B,14.66,682.0,1,75.0,yes,33.8,16.3,412.2
2,Moderate,B,27.1,623.0,1,128.0,yes,26.8,50.2,383.3
4,Very High,B,0.54,704.0,2,178.0,yes,21.4,18.2,700.1
3,High,B,18.26,611.0,1,134.0,yes,25.7,27.1,611.9
4,Moderate,C,6.21,689.0,2,136.0,yes,27.8,25.0,507.8
4,Very High,C,8.37,585.0,2,136.0,no,33.7,44.2,795.5
2,Moderate,D,20.78,524.0,1,128.0,yes,22.6,19.6,680.4
3,Moderate,A,29.32,649.0,1,142.0,yes,25.4,44.8,367.5
2,Very High,C,13.91,687.0,1,82.0,yes,28.2,52.7,426.3
3,Very High,C,21.7,691.0,1,99.0,yes,29.2,23.7,493.2
3,Moderate,A,34.52,594.0,1,108.0,no,21.3,29.5,442.5
3,Moderate,A,32.86,695.0,1,137.0,yes,35.6,40.4,287.9
1,Very High,C,1.14,593.0,1,39.0,yes,21.8,51.0,603.9
1,Very High,B,8.54,673.0,1,45.0,no,,31.8,494.5
4,Very High,C,8.64,400.0,1,131.0,,35.0,24.9,1178.2
4,Very High,A,6.13,590.0,2,144.0,yes,27.6,30.5,831.1
3,Moderate,C,18.64,606.0,1,78.0,yes,26.5,35.9,470.2
2,Moderate,A,15.01,687.0,1,99.0,yes,24.0,38.1,326.3
4,High,A,3.89,630.0,2,181.0,yes,24.4,27.1,736.2
3,Moderate,A,31.54,666.0,1,68.0,yes,38.8,18.1,347.9
1,Very High,C,6.58,706.0,1,42.0,yes,28.5,49.5,379.8
2,Moderate,C,24.33,679.0,1,140.0,no,25.4,27.2,363.4
3,Moderate,B,24.58,637.0,1,147.0,,24.1,23.2,477.1
4,Very High,B,9.95,660.0,2,148.0,yes,58.3,27.2,751.4
3,Very Low,C,11.81,531.0,1,104.0,no,40.2,16.9,612.9
2,Moderate,B,23.35,683.0,1,63.0,yes,39.0,24.2,319.5
4,Very High,C,9.26,701.0,2,138.0,no,39.2,23.0,640.5
2,Low,B,11.84,651.0,1,64.0,no,24.1,26.4,337.9
3,Moderate,B,20.73,433.0,1,142.0,yes,33.6,38.6,858.3
3,Very High,B,35.58,680.0,1,94.0,yes,29.2,22.7,435.4
1,High,B,9.13,664.0,1,61.0,yes,,21.9,487.3
3,Low,C,31.4,484.0,1,94.0,yes,30.3,40.8,571.1
3,Very Low,B,33.8,615.0,1,119.0,yes,33.5,26.1,309.1
4,Very High,A,8.0,574.0,2,165.0,yes,32.3,26.9,891.4
4,High,C,5.79,612.0,2,123.0,yes,27.0,24.6,713.9
2,Moderate,B,23.02,478.0,1,88.0,,29.3,25.7,712.4
3,Moderate,B,25.36,670.0,1,93.0,yes,21.6,24.0,348.9
2,Moderate,C,19.9,602.0,1,137.0,yes,24.4,24.8,535.6
3,Very Low,B,36.83,636.0,1,88.0,yes,32.4,18.4,240.2
3,Low,A,19.01,649.0,1,124.0,yes,21.7,33.3,358.8
3,Moderate,C,12.65,692.0,1,147.0,yes,23.8,30.9,416.8
2,Moderate,B,19.37,666.0,1,62.0,yes,27.9,52.4,274.4
4,Very High,B,4.5,652.0,2,186.0,no,25.2,29.3,762.7
3,,A,30.07,691.0,1,77.0,yes,21.5,34.1,310.6
4,Very High,C,1.71,694.0,2,148.0,yes,22.3,47.7,604.8
1,Very High,B,6.66,552.0,1,45.0,yes,28.7,45.7,685.6
4,High,B,5.48,677.0,2,176.0,yes,26.6,29.2,631.9
4,Very High,C,5.88,691.0,2,116.0,yes,27.2,32.6,606.1
3,Very High,C,18.9,686.0,1,125.0,,37.6,23.7,560.9
1,Very High,A,9.33,682.0,1,38.0,,39.9,53.6,418.0
